,loopid,fromaddress,toaddress,tokenid,ethprice,date,transhash
614,PUNK1230,0xf1B65881041243cB07b9A2067014350239aF4116,0x3e17fac953DE2Cd729B0aCe7f6d4353387717e9e,8562,37.0,2021-01-24,0xeb129c73fd2411aa2783b958adb7bcc3f62c0ed9b8c800e486c050f606ab9427
616,PUNK1234,0x3e17fac953DE2Cd729B0aCe7f6d4353387717e9e,0x3042887F97821EC36BE64D2677EFd2e943A4Cb0F,4112,25.0,2021-02-20,0xc847773e5efcd00578ed16a1f49405f0d86803c4cbaed640bd57139a48f5bdb3
617,PUNK1234,0xeE3766e4F996DC0e0F8c929954EAAFef3441de87,0x3e17fac953DE2Cd729B0aCe7f6d4353387717e9e,4590,37.5,2021-02-15,0x4ba8bba0fb42b086553ff543b47784cbcf292656a37ab13cc5ffc07cb6138dbc
618,PUNK1234,0x3042887F97821EC36BE64D2677EFd2e943A4Cb0F,0xeE3766e4F996DC0e0F8c929954EAAFef3441de87,8395,19.77,2021-02-17,0x2033dcb35f7856387e1a116f433c0b058d1e26d48bf9d088bdb5c9a20e9a5a5a
619,PUNK1237,0xB16386345672C38e6DC7D1D061E656Ad9F7e7E3C,0xB5696E4057B9BA76616cEcB5A537eAcA7B3CDf54,4130,22.0,2021-07-26,0xc11f59918574ea7a8ee9d21acc802f6fe6d745ca9d637bef0c099859a0f0ff8e
620,PUNK1237,0xB5696E4057B9BA76616cEcB5A537eAcA7B3CDf54,0xB16386345672C38e6DC7D1D061E656Ad9F7e7E3C,4130,23.0,2021-07-30,0xdaf70786c2210ce35484e3c1f18b710984e70f5bb6faa6dda207efc0919cd392
621,PUNK1239,0x91338ccFb8c0AdB7756034A82008531d7713009d,0xa62D7AD2FddBAd38a0aba25e40CDfe2edFa4D183,4318,92.0,2021-09-16,0xcd65aeaeb3085ddf6764abba517eb196f1d1a1a8695648d9e7644e405acf8195
622,PUNK1239,0xa62D7AD2FddBAd38a0aba25e40CDfe2edFa4D183,0x65B1B96bD01926d3d60DD3c8bc452F22819443A9,8326,86.0,2021-09-16,0xc621adde4ed6462fec9be18c9cc41b58e76a06e97eb03e0bee3ffab6482b8e95
623,PUNK1244,0x91338ccFb8c0AdB7756034A82008531d7713009d,0xa62D7AD2FddBAd38a0aba25e40CDfe2edFa4D183,4318,92.0,2021-09-16,0xcd65aeaeb3085ddf6764abba517eb196f1d1a1a8695648d9e7644e405acf8195
624,PUNK1244,0xa62D7AD2FddBAd38a0aba25e40CDfe2edFa4D183,0x65B1B96bD01926d3d60DD3c8bc452F22819443A9,8326,86.0,2021-09-16,0xc621adde4ed6462fec9be18c9cc41b58e76a06e97eb03e0bee3ffab6482b8e95
625,PUNK1256,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,7434,155.0,2021-08-05,0x5eea6afcff485366b640c38bddafaf876f4167840d86321aad3198e1fc7f9ebc
626,PUNK1256,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,5979,43.98,2021-08-05,0xec237b7305b2b2bf4362332d439ec54c9c77714ee7d51f0e035a8112b290dac3
627,PUNK1265,0x6Ec30Fd91A504Aad948839B985C7263888B2Ad68,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,1966,45.98,2021-08-05,0x15612d578c8e12365718c729d9659e184a7623dfc3699ef83ad05eb755614ace
628,PUNK1265,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,7434,155.0,2021-08-05,0x5eea6afcff485366b640c38bddafaf876f4167840d86321aad3198e1fc7f9ebc
629,PUNK1272,0xeD98464BDA3cE53a95B50f897556bEDE4316361c,0x44a3CCddccae339D05200a8f4347F83A58847E52,5878,15.0,2021-06-12,0xc75dbece10bdca952e571643cd3fbaa94735dbf7d329f4ed311b34e08237d420
630,PUNK1272,0x44a3CCddccae339D05200a8f4347F83A58847E52,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,5494,16.49,2021-06-16,0x191e725fd1da8809b13ef2a665d7893cd950f04e0771341cadf23707a3e8aa61
632,PUNK1281,0xf3016B7608aCfbec9df4aE1EAd36bb5f1bad4fF4,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,9767,59.48,2021-08-06,0xedc532dea1bbf54ffb14fd278eb41c24ea87936df694ff5b844dec5ad56ca213
631,PUNK1281,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,7434,155.0,2021-08-05,0x5eea6afcff485366b640c38bddafaf876f4167840d86321aad3198e1fc7f9ebc
633,PUNK1288,0x6Ec30Fd91A504Aad948839B985C7263888B2Ad68,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,1966,45.98,2021-08-05,0x15612d578c8e12365718c729d9659e184a7623dfc3699ef83ad05eb755614ace
